" Frame3DD version: 20140514               http://frame3dd.sf.net/"
"GPL Copyright (C) 1992-2014, Henri P. Gavin "
"Frame3DD is distributed in the hope that it will be useful but with no warranty."
"For details see the GNU Public Licence: http://www.fsf.org/copyleft/gpl.html"
"  Example H: a pedestrian ramp (units: kip  in)               "
" Wed May 14 16:02:05 2014
 "
" .CSV formatted results of Frame3DD analysis "

 , Load Case , Displacements , End Forces , Reactions 
 First Row , 1 , 17 , 167 , 759  
 Last Row , 1 , 164 , 756 , 906  

"L O A D   C A S E   1   O F   1  ... "

"N O D E   D I S P L A C E M E N T S    (global)"
Node  ,  X-dsp   ,   Y-dsp  ,    Z-dsp ,     X-rot  ,    Y-rot   ,   Z-rot
   149,    62, -1.93231e+00,  4.15524e-03,  1.89023e+01, -7.99217e-03,  1.10676e+03, -8.67316e-01,
   150,    63,  3.30094e-01, -8.99734e-03,  1.89240e+01, -1.34523e-02, -1.11196e+03, -1.97063e+00,
   150,    87, -2.16328e-01,  8.99734e-03,  1.91793e+01,  1.34523e-02,  1.15798e+03, -1.27316e+00,
   151,    87,  2.09129e+00, -6.73888e-03,  1.91608e+01, -6.12670e-04, -1.15802e+03, -1.23518e+00,
   151,    88, -1.97753e+00,  6.73888e-03,  1.91535e+01,  6.12670e-04,  1.15668e+03, -1.20988e+00,
   152,    88,  3.96722e+00, -3.75058e-03,  1.91928e+01,  3.22290e-03, -1.15876e+03, -5.60527e-01,
   152,    66, -3.85345e+00,  3.75058e-03,  1.89105e+01, -3.22290e-03,  1.10795e+03, -7.86446e-01,
   153,    67,  5.27885e-01, -9.16506e-03,  1.89379e+01,  1.04531e-02, -1.11351e+03, -2.11932e+00,
   153,    91, -4.14120e-01,  9.16506e-03,  1.91654e+01, -1.04531e-02,  1.15450e+03, -1.18476e+00,
   154,    91,  2.25809e+00, -8.74741e-03,  1.91711e+01,  1.89067e-02, -1.16034e+03, -1.51422e+00,
   154,    92, -2.14432e+00,  8.74741e-03,  1.91432e+01, -1.89067e-02,  1.15527e+03, -1.66171e+00,
   155,    92,  4.33221e+00, -3.23626e-04,  1.91944e+01, -3.46638e-02, -1.15822e+03,  8.69175e-02,
   155,    70, -4.21845e+00,  3.23626e-04,  1.89089e+01,  3.46638e-02,  1.10686e+03, -1.87813e-01,
   156,    71, -4.33003e-01, -1.10839e-02,  1.89262e+01, -2.40359e-02, -1.11341e+03, -2.54876e+00,
   156,    95,  5.46768e-01,  1.10839e-02,  1.91771e+01,  2.40359e-02,  1.15867e+03, -1.44639e+00,
   157,    95,  2.51835e+00, -1.20469e-02,  1.91404e+01, -2.31651e-02, -1.15343e+03, -1.84062e+00,
   157,    96, -2.40459e+00,  1.20469e-02,  1.91740e+01,  2.31651e-02,  1.15950e+03, -2.53829e+00,
   158,    96,  4.54733e+00,  8.34081e-03,  1.91408e+01,  4.27912e-02, -1.15066e+03,  1.84174e+00,
   158,    74, -4.43356e+00, -8.34081e-03,  1.89625e+01, -4.27912e-02,  1.11864e+03,  1.21265e+00,
   159,    75,  1.23775e+01, -1.14277e-02,  1.86859e+01, -8.69250e-02, -1.05621e+03, -2.31124e+00,
   159,    99, -1.22637e+01,  1.14277e-02,  1.94174e+01,  8.69250e-02,  1.18766e+03, -1.70273e+00,
   160,    99,  1.37622e+01,  4.30144e-03,  1.91168e+01, -8.72025e-02, -1.15036e+03,  2.19341e-01,
   160,   100, -1.36484e+01, -4.30144e-03,  1.91976e+01,  8.72025e-02,  1.16491e+03,  1.45962e+00,
   161,   100,  1.57512e+01, -2.98181e-02,  1.93682e+01,  1.73132e-01, -1.17527e+03, -5.53063e+00,
   161,    78, -1.56375e+01,  2.98181e-02,  1.87351e+01, -1.73132e-01,  1.06165e+03, -5.42861e+00,
   162,   101,  2.38568e-01, -5.55604e+00, -1.15430e+00,  3.04445e-02,  1.74754e+01, -8.41121e+01,
   162,   107,  2.38568e-01,  5.55604e+00,  1.15430e+00, -3.04445e-02,  5.17824e+01, -2.49251e+02,
   163,   107,  4.77137e-01, -3.93131e+00, -1.13951e+00, -1.70511e-02,  5.99646e+01, -2.30266e+02,
   163,   111,  4.77137e-01,  3.93131e+00,  1.13951e+00,  1.70511e-02,  7.67768e+01, -2.41491e+02,
   164,   111,  4.77137e-01, -4.05832e+00, -1.67956e+00, -5.52604e-04,  9.70664e+01, -2.46263e+02,
   164,   115,  4.77137e-01,  4.05832e+00,  1.67956e+00,  5.52604e-04,  1.04481e+02, -2.40736e+02,
   165,   115,  4.77137e-01, -4.18342e+00, -2.15415e+00,  9.25390e-03,  1.22311e+02, -2.45436e+02,
   165,   119,  4.77137e-01,  4.18342e+00,  2.15415e+00, -9.25390e-03,  1.36186e+02, -2.56575e+02,
   166,   119,  4.77137e-01, -3.46272e+00, -1.89943e+00, -3.24386e-02,  1.26617e+02, -2.29498e+02,
   166,   123,  4.77137e-01,  3.46272e+00,  1.89943e+00,  3.24386e-02,  1.01315e+02, -1.86028e+02,
   167,   123,  4.77137e-01, -6.53679e+00, -4.07014e+00,  1.02055e-01,  1.82868e+02, -3.01519e+02,
   167,   127,  4.77137e-01,  6.53679e+00,  4.07014e+00, -1.02055e-01,  3.05549e+02, -4.82896e+02,
   168,   102,  2.04171e+02, -5.35661e+00, -9.77492e+00,  5.58577e-04,  1.28701e+02, -7.36083e+01,
   168,   108, -2.03694e+02,  5.35661e+00,  9.77492e+00, -5.58577e-04,  4.57492e+02, -2.47670e+02,
   169,   108,  1.65533e+02, -4.12927e+00, -7.79091e+00, -8.90665e-03,  4.57901e+02, -2.44953e+02,
   169,   112, -1.64579e+02,  4.12927e+00,  7.79091e+00,  8.90665e-03,  4.77035e+02, -2.50690e+02,
   170,   112,  1.27461e+02, -4.19323e+00, -8.41532e+00,  4.04925e-03,  4.99838e+02, -2.50349e+02,
   170,   116, -1.26507e+02,  4.19323e+00,  8.41532e+00, -4.04925e-03,  5.09990e+02, -2.52834e+02,
   171,   116,  9.02024e+01, -4.29193e+00, -8.57817e+00,  7.16584e-03,  5.17958e+02, -2.55131e+02,
   171,   120, -8.92481e+01,  4.29193e+00,  8.57817e+00, -7.16584e-03,  5.11463e+02, -2.59859e+02,
   172,   120,  5.34835e+01, -3.95413e+00, -9.93657e+00,  4.80910e-03,  5.63362e+02, -2.52772e+02,
   172,   124, -5.25293e+01,  3.95413e+00,  9.93657e+00, -4.80910e-03,  6.29063e+02, -2.21788e+02,
   173,   124,  1.62821e+01, -6.59400e+00, -4.53033e+00,  7.24275e-02,  4.21497e+02, -3.00323e+02,
   173,   128, -1.53278e+01,  6.59400e+00,  4.53033e+00, -7.24275e-02,  1.22131e+02, -4.90877e+02,
   174,   105,  1.96045e+02, -2.65554e+00,  5.42747e+00,  3.34596e-03, -2.34769e+02, -1.01952e+02,
   174,   109, -1.95091e+02,  2.65554e+00, -5.42747e+00, -3.34596e-03, -4.18279e+02, -2.16813e+02,
   175,   109,  1.56460e+02, -4.40872e+00,  7.97020e+00,  2.17982e-02, -4.84642e+02, -2.74755e+02,
   175,   113, -1.55506e+02,  4.40872e+00, -7.97020e+00, -2.17982e-02, -4.71790e+02, -2.53981e+02,
   176,   113,  1.17379e+02, -4.21312e+00,  7.97242e+00,  5.37645e-03, -4.71953e+02, -2.48839e+02,
   176,   117, -1.16424e+02,  4.21312e+00, -7.97242e+00, -5.37645e-03, -4.84744e+02, -2.56580e+02,
   177,   117,  7.86555e+01, -3.91285e+00,  7.95862e+00,  2.33307e-03, -4.80353e+02, -2.50683e+02,
   177,   121, -7.77013e+01,  3.91285e+00, -7.95862e+00, -2.33307e-03, -4.74593e+02, -2.18882e+02,
   178,   121,  3.98684e+01, -6.53734e+00,  1.04167e+01, -2.15917e-02, -4.99818e+02, -2.97788e+02,
   178,   125, -3.89141e+01,  6.53734e+00, -1.04167e+01,  2.15917e-02, -7.49338e+02, -4.86469e+02,
   179,   106,  9.62805e+01, -2.59808e+00,  1.34455e+00,  2.11370e-02, -7.99770e+01, -9.72715e+01,
   179,   110, -9.53263e+01,  2.59808e+00, -1.34455e+00, -2.11370e-02, -8.22159e+01, -2.14482e+02,
   180,   110,  7.72817e+01, -4.32581e+00,  7.63180e-01,  2.53377e-02, -3.18704e+01, -2.70700e+02,
   180,   114, -7.63274e+01,  4.32581e+00, -7.63180e-01, -2.53377e-02, -5.97321e+01, -2.48178e+02,
   181,   114,  5.77212e+01, -4.11252e+00,  1.26337e+00,  1.01401e-02, -7.79369e+01, -2.43995e+02,
   181,   118, -5.67669e+01,  4.11252e+00, -1.26337e+00, -1.01401e-02, -7.36723e+01, -2.49410e+02,
   182,   118,  3.77374e+01, -3.80547e+00,  1.87446e+00, -3.48032e-03, -9.14534e+01, -2.44323e+02,
   182,   122, -3.67831e+01,  3.80547e+00, -1.87446e+00,  3.48032e-03, -1.33427e+02, -2.12342e+02,
   183,   122,  1.76757e+01, -6.32815e+00,  7.42071e-01,  2.59081e-03, -2.51352e+01, -2.88544e+02,
   183,   126, -1.67214e+01,  6.32815e+00, -7.42071e-01, -2.59081e-03, -6.35460e+01, -4.70741e+02,
   184,   103,  2.60621e+02, -4.24462e+00,  1.19392e+00, -5.67263e-02, -6.25679e+01, -9.53374e+01,
   184,   130, -2.60303e+02,  4.24462e+00, -1.19392e+00,  5.67263e-02,  1.43270e+01, -7.50566e+01,
   185,   130,  2.60303e+02, -4.24462e+00,  1.19392e+00, -5.67263e-02, -1.43270e+01,  7.50566e+01,
   185,   131, -2.59985e+02,  4.24462e+00, -1.19392e+00,  5.67263e-02, -3.41639e+01, -2.44138e+02,
   186,   131,  2.09009e+02, -4.35626e+00, -2.21306e-01,  1.44105e-02,  2.28387e+01, -2.61972e+02,
   186,   134, -2.08373e+02,  4.35626e+00,  2.21306e-01, -1.44105e-02, -5.43346e+00, -8.68758e+01,
   187,   134,  2.08373e+02, -4.35626e+00, -2.21306e-01,  1.44105e-02,  5.43346e+00,  8.68758e+01,
   187,   135, -2.08054e+02,  4.35626e+00,  2.21306e-01, -1.44105e-02,  3.44509e+00, -2.60701e+02,
   188,   135,  1.56850e+02, -4.41206e+00,  2.87880e-02,  4.55596e-03, -2.49461e+00, -2.58895e+02,
   188,   138, -1.56214e+02,  4.41206e+00, -2.87880e-02, -4.55596e-03,  1.70501e-01, -9.42769e+01,
   189,   138,  1.56214e+02, -4.41206e+00,  2.87880e-02,  4.55595e-03, -1.70501e-01,  9.42769e+01,
   189,   139, -1.55896e+02,  4.41206e+00, -2.87880e-02, -4.55595e-03, -1.00033e+00, -2.70308e+02,
   190,   139,  1.04630e+02, -4.04091e+00,  8.05580e-02,  1.75772e-03,  1.13851e+00, -2.58299e+02,
   190,   142, -1.03993e+02,  4.04091e+00, -8.05580e-02, -1.75772e-03, -7.56119e+00, -6.49810e+01,
   191,   142,  1.03993e+02, -4.04091e+00,  8.05580e-02,  1.75772e-03,  7.56119e+00,  6.49810e+01,
   191,   143, -1.03675e+02,  4.04091e+00, -8.05580e-02, -1.75772e-03, -1.07046e+01, -2.26506e+02,
   192,   143,  5.23348e+01, -6.95199e+00, -2.48032e-01, -3.16389e-02,  2.13950e+01, -3.13774e+02,
   192,   146, -5.16986e+01,  6.95199e+00,  2.48032e-01,  3.16389e-02, -1.32828e+00, -2.42642e+02,
   193,   146,  5.16986e+01, -6.95199e+00, -2.48032e-01, -3.16388e-02,  1.32828e+00,  2.42642e+02,
   193,   147, -5.13805e+01,  6.95199e+00,  2.48032e-01,  3.16388e-02,  8.72836e+00, -5.20070e+02,
   194,   104,  2.60796e+02, -3.52975e+00,  9.95487e-01, -4.25045e-02, -6.54524e+01, -1.13484e+02,
   194,   129, -2.60637e+02,  3.52975e+00, -9.95487e-01,  4.25045e-02,  4.53819e+01,  4.25787e+01,
   195,   129,  2.60637e+02, -3.52975e+00,  9.95487e-01, -4.25044e-02, -4.53819e+01, -4.25787e+01,
   195,   132, -2.60000e+02,  3.52975e+00, -9.95487e-01,  4.25044e-02, -3.59967e+01, -2.39795e+02,
   196,   132,  2.08968e+02, -4.39499e+00, -3.27690e-01,  1.47947e-02,  3.22329e+01, -2.66740e+02,
   196,   133, -2.08650e+02,  4.39499e+00,  3.27690e-01, -1.47947e-02, -1.94339e+01,  9.14892e+01,
   197,   133,  2.08650e+02, -4.39499e+00, -3.27690e-01,  1.47947e-02,  1.94339e+01, -9.14892e+01,
   197,   136, -2.08013e+02,  4.39499e+00,  3.27690e-01, -1.47947e-02,  6.79876e+00, -2.60386e+02,
   198,   136,  1.56829e+02, -4.40253e+00, -2.94071e-02, -1.60852e-03, -8.96506e-01, -2.59932e+02,
   198,   137, -1.56511e+02,  4.40253e+00,  2.94071e-02,  1.60852e-03,  2.08185e+00,  8.41772e+01,
   199,   137,  1.56511e+02, -4.40253e+00, -2.94071e-02, -1.60852e-03, -2.08185e+00, -8.41772e+01,
   199,   140, -1.55875e+02,  4.40253e+00,  2.94071e-02,  1.60852e-03,  4.37471e+00, -2.68131e+02,
   200,   140,  1.04611e+02, -4.06314e+00,  2.85450e-01,  2.20111e-03, -1.83261e+00, -2.61061e+02,
   200,   141, -1.04293e+02,  4.06314e+00, -2.85450e-01, -2.20111e-03, -9.63184e+00,  9.88429e+01,
   201,   141,  1.04293e+02, -4.06314e+00,  2.85450e-01,  2.20111e-03,  9.63184e+00, -9.88429e+01,
   201,   144, -1.03657e+02,  4.06314e+00, -2.85450e-01, -2.20111e-03, -3.22788e+01, -2.26530e+02,
   202,   144,  5.24247e+01, -6.92514e+00, -7.80714e-01, -8.79942e-02,  4.82218e+01, -3.13608e+02,
   202,   145, -5.21066e+01,  6.92514e+00,  7.80714e-01,  8.79942e-02, -1.67787e+01,  3.65109e+01,
   203,   145,  5.21066e+01, -6.92514e+00, -7.80714e-01, -8.79940e-02,  1.67787e+01, -3.65109e+01,
   203,   148, -5.14704e+01,  6.92514e+00,  7.80714e-01,  8.79940e-02,  4.61691e+01, -5.17097e+02,
   204,   107, -7.19056e+00,  1.27991e-02,  5.66102e+00, -2.28546e-02, -1.11753e+02,  3.82499e-01,
   204,   108,  7.19056e+00, -1.27991e-02,  7.02158e+00,  2.28546e-02,  1.93494e+02,  1.14923e+00,
   205,   111, -6.38202e+00,  7.18909e-04,  6.68956e+00,  3.67702e-03, -1.73824e+02, -1.30566e-01,
   205,   112,  6.38202e+00, -7.18909e-04,  5.99304e+00, -3.67702e-03,  1.32284e+02,  2.18232e-01,
   206,   115, -6.75016e+00, -1.40925e-03,  7.56473e+00, -3.54774e-02, -2.26755e+02, -1.40301e-01,
   206,   116,  6.75016e+00,  1.40925e-03,  5.11787e+00,  3.54774e-02,  8.03352e+01, -2.75935e-02,
   207,   119, -4.53908e+00,  4.70464e-03,  8.22369e+00, -4.31310e-03, -2.62756e+02,  1.71721e-01,
   207,   120,  4.53908e+00, -4.70464e-03,  4.45890e+00,  4.31310e-03,  3.71918e+01,  3.91492e-01,
   208,   123, -1.23575e+00, -2.76406e-02,  8.31274e+00, -6.48083e-02, -2.84116e+02, -8.12920e-01,
   208,   124,  1.23575e+00,  2.76406e-02,  4.36986e+00,  6.48083e-02,  4.76409e+01, -2.50282e+00,
   209,   127, -4.54208e+00,  3.59734e-02,  9.89999e+00, -1.10311e-01, -3.05487e+02,  2.23457e+00,
   209,   128,  4.54208e+00, -3.59734e-02,  2.78260e+00,  1.10311e-01, -1.21186e+02,  2.06349e+00,
   210,   109,  5.81081e-01,  7.48624e-03,  7.08632e+00, -8.65396e-03, -2.03473e+02,  9.05297e-01,
   210,   110, -5.81081e-01, -7.48624e-03,  5.59627e+00,  8.65396e-03,  1.14079e+02, -6.55233e-03,
   211,   113, -4.94525e-01, -2.51458e-03,  6.57444e+00, -5.09520e-04, -1.65633e+02,  3.95458e-01,
   211,   114,  4.94525e-01,  2.51458e-03,  6.10816e+00,  5.09520e-04,  1.37643e+02, -6.97971e-01,
   212,   117, -6.04953e-01, -1.11815e-03,  6.16636e+00,  1.09815e-02, -1.44146e+02,  6.01151e-01,
   212,   118,  6.04953e-01,  1.11815e-03,  6.51623e+00, -1.09815e-02,  1.65116e+02, -7.36487e-01,
   213,   121,  1.13517e+00,  2.47530e-03,  6.13740e+00,  1.15393e-02, -1.34020e+02,  6.69313e-01,
   213,   122, -1.13517e+00, -2.47530e-03,  6.54520e+00, -1.15393e-02,  1.58534e+02, -3.70058e-01,
   214,   125,  7.47377e-01,  8.68165e-03,  8.33593e+00,  4.42264e-02, -3.02860e+02,  1.66093e+00,
   214,   126, -7.47377e-01, -8.68165e-03,  4.34666e+00, -4.42264e-02,  6.35370e+01, -6.17902e-01,
   215,   108, -4.16488e+00, -5.13411e-03,  1.88977e+01, -2.08083e-02, -1.10856e+03, -1.21078e+00,
   215,   131,  4.27864e+00,  5.13411e-03,  1.92056e+01,  2.08083e-02,  1.16413e+03, -6.39455e-01,
   216,   131, -3.57807e+00, -3.79719e-03,  1.91292e+01, -1.03578e-02, -1.15283e+03, -6.44519e-01,
   216,   132,  3.69184e+00,  3.79719e-03,  1.91852e+01,  1.03578e-02,  1.16300e+03, -7.26591e-01,
   217,   132, -2.89791e+00, -5.93231e-03,  1.91995e+01, -1.53313e-02, -1.15926e+03, -7.07387e-01,
   217,   109,  3.01167e+00,  5.93231e-03,  1.89038e+01,  1.53313e-02,  1.10596e+03, -1.43348e+00,
   218,   112, -5.97033e+00, -3.64099e-03,  1.89118e+01, -9.04156e-03, -1.10878e+03, -7.68436e-01,
   218,   135,  6.08409e+00,  3.64099e-03,  1.91915e+01,  9.04156e-03,  1.15932e+03, -5.50155e-01,
   219,   135, -3.71724e+00, -5.54100e-03,  1.91723e+01, -2.07011e-03, -1.16028e+03, -9.75436e-01,
   219,   136,  3.83100e+00,  5.54100e-03,  1.91421e+01,  2.07011e-03,  1.15484e+03, -1.03116e+00,
   220,   136, -1.42257e+00, -8.17909e-03,  1.91951e+01,  8.28665e-03, -1.16076e+03, -1.10024e+00,
   220,   113,  1.53633e+00,  8.17909e-03,  1.89081e+01, -8.28665e-03,  1.10901e+03, -1.85076e+00,
   221,   116, -5.87681e+00, -2.33536e-03,  1.89097e+01, -2.36245e-02, -1.10789e+03, -5.03970e-01,
   221,   139,  5.99058e+00,  2.33536e-03,  1.91936e+01,  2.36245e-02,  1.15919e+03, -3.52862e-01,
   222,   139, -3.82364e+00, -7.05197e-03,  1.91658e+01,  3.07254e-03, -1.15932e+03, -1.31210e+00,
   222,   140,  3.93741e+00,  7.05197e-03,  1.91486e+01, -3.07254e-03,  1.15623e+03, -1.24211e+00,
   223,   140, -1.51597e+00, -1.00167e-02,  1.91901e+01,  9.14994e-03, -1.15879e+03, -1.37329e+00,
   223,   117,  1.62973e+00,  1.00167e-02,  1.89132e+01, -9.14994e-03,  1.10885e+03, -2.24005e+00,
   224,   120, -4.85435e+00, -1.02849e-03,  1.89319e+01,  3.58029e-02, -1.11159e+03, -4.33664e-01,
   224,   143,  4.96812e+00,  1.02849e-03,  1.91714e+01, -3.58029e-02,  1.15489e+03,  4.79989e-02,
   225,   143, -3.17780e+00, -6.52642e-03,  1.92061e+01,  7.51575e-03, -1.16556e+03, -1.22017e+00,
   225,   144,  3.29156e+00,  6.52642e-03,  1.91082e+01, -7.51575e-03,  1.14783e+03, -1.14017e+00,
   226,   144, -2.25177e+00, -7.37782e-03,  1.92059e+01,  4.63236e-03, -1.16376e+03, -8.87276e-01,
   226,   121,  2.36554e+00,  7.37782e-03,  1.88974e+01, -4.63236e-03,  1.10811e+03, -1.77514e+00,
   227,   124,  5.22703e+00,  1.20218e-02,  1.88794e+01, -3.50253e-01, -1.09788e+03,  2.41336e+00,
   227,   147, -5.11326e+00, -1.20218e-02,  1.92239e+01,  3.50253e-01,  1.15985e+03,  1.98289e+00,
   228,   147,  7.48820e+00, -1.47295e-02,  1.92191e+01,  1.13092e-02, -1.16856e+03, -3.20394e+00,
   228,   148, -7.37444e+00,  1.47295e-02,  1.90953e+01, -1.13092e-02,  1.14607e+03, -2.16202e+00,
   229,   148,  1.02705e+01, -1.36390e-02,  1.94428e+01,  2.97667e-02, -1.19226e+03, -1.50845e+00,
   229,   125, -1.01568e+01,  1.36390e-02,  1.86605e+01, -2.97667e-02,  1.05148e+03, -3.40271e+00,
   230,     7,      0.0,    2.42444e-03,  2.46404e+01,  7.68862e-03, -9.80942e+02,  2.40538e-01,
   230,    57,      0.0,   -2.42444e-03,  2.44531e+01, -7.68862e-03,  9.58464e+02,  3.41327e-01,
   231,     8,  1.22428e+00,  4.43888e-03,  1.25984e+01, -3.37010e-01, -5.04279e+02,  3.92452e-01,
   231,    58, -1.22428e+00, -4.43888e-03,  1.24952e+01,  3.37010e-01,  4.91910e+02,  6.74087e-01,
   232,     9, -1.75172e+00,  1.75590e-02,  1.25818e+01,  3.88944e-01, -5.01209e+02,  2.03484e+00,
   232,    59,  1.75172e+00, -1.75590e-02,  1.25117e+01, -3.88944e-01,  4.92747e+02,  2.16789e+00,
   233,    10, -1.71929e+00,  1.32937e-02,  1.26231e+01, -4.01007e-02, -5.06202e+02,  1.61856e+00,
   233,    60,  1.71929e+00, -1.32937e-02,  1.24705e+01,  4.01007e-02,  4.87875e+02,  1.56095e+00,
   234,    11,      0.0,    9.79505e-04,  1.26434e+01, -1.52724e-02, -5.11501e+02,  1.47131e-01,
   234,    61,      0.0,   -9.79505e-04,  1.24501e+01,  1.52724e-02,  4.88300e+02,  8.79502e-02,
   235,    12, -5.93309e-02,  4.45186e-03,  1.25343e+01, -3.76126e-01, -4.96374e+02,  4.54728e-01,
   235,    62,  5.93309e-02, -4.45186e-03,  1.25592e+01,  3.76126e-01,  4.99357e+02,  6.13650e-01,
   236,    13,  1.90972e-01,  1.54910e-02,  1.24909e+01,  3.57076e-01, -4.91242e+02,  1.79048e+00,
   236,    63, -1.90972e-01, -1.54910e-02,  1.26026e+01, -3.57076e-01,  5.04663e+02,  1.92873e+00,
   237,    14,  2.26861e-01,  9.75753e-03,  1.25714e+01,  1.40721e-02, -5.00994e+02,  1.16102e+00,
   237,    64, -2.26861e-01, -9.75753e-03,  1.25221e+01, -1.40721e-02,  4.95086e+02,  1.18244e+00,
   238,    15,      0.0,    8.19229e-04,  1.26429e+01, -2.80406e-02, -5.08856e+02,  1.36967e-01,
   238,    65,      0.0,   -8.19229e-04,  1.24506e+01,  2.80406e-02,  4.85790e+02,  5.96481e-02,
   239,    16, -9.15343e-02,  3.71142e-03,  1.24817e+01, -3.91239e-01, -4.89982e+02,  3.50963e-01,
   239,    66,  9.15343e-02, -3.71142e-03,  1.26118e+01,  3.91239e-01,  5.05587e+02,  5.39665e-01,
   240,    17,  2.97975e-01,  1.26387e-02,  1.24501e+01,  3.86639e-01, -4.86027e+02,  1.44826e+00,
   240,    67, -2.97975e-01, -1.26387e-02,  1.26434e+01, -3.86639e-01,  5.09242e+02,  1.58707e+00,
   241,    18,  3.16455e-01,  6.32196e-03,  1.25613e+01,  9.66445e-03, -4.99498e+02,  7.46178e-01,
   241,    68, -3.16455e-01, -6.32196e-03,  1.25322e+01, -9.66445e-03,  4.96006e+02,  7.73277e-01,
   242,    19,      0.0,    6.41602e-04,  1.26485e+01, -4.76061e-02, -5.11162e+02,  9.40295e-02,
   242,    69,      0.0,   -6.41602e-04,  1.24450e+01,  4.76061e-02,  4.86752e+02,  5.99548e-02,
   243,    20,  3.42657e-01,  1.31846e-03,  1.24484e+01, -3.80670e-01, -4.85798e+02,  4.54174e-02,
   243,    70, -3.42657e-01, -1.31846e-03,  1.26451e+01,  3.80670e-01,  5.09413e+02,  2.71410e-01,
   244,    21, -2.61889e+00,  1.70590e-02,  1.23850e+01,  3.22888e-01, -4.79639e+02,  1.98640e+00,
   244,    71,  2.61889e+00, -1.70590e-02,  1.27085e+01, -3.22888e-01,  5.18292e+02,  2.08745e+00,
   245,    22, -2.51721e+00,  8.78540e-03,  1.25181e+01,  3.06953e-02, -4.95651e+02,  1.04011e+00,
   245,    72,  2.51721e+00, -8.78540e-03,  1.25754e+01, -3.06953e-02,  5.02458e+02,  1.04901e+00,
   246,    23,      0.0,   -4.24330e-03,  1.26192e+01, -1.71865e-02, -5.02742e+02, -3.00280e-01,
   246,    73,      0.0,    4.24330e-03,  1.24743e+01,  1.71865e-02,  4.85347e+02, -7.18111e-01,
   247,    24, -2.58584e+00, -1.01946e-02,  1.23937e+01, -4.89663e-01, -4.80634e+02, -1.20150e+00,
   247,    74,  2.58584e+00,  1.01946e-02,  1.26998e+01,  4.89663e-01,  5.17201e+02, -1.24692e+00,
   248,    25,  6.53048e+00,  1.05011e-02,  1.25755e+01,  7.20183e-01, -4.94134e+02,  1.14002e+00,
   248,    75, -6.53048e+00, -1.05011e-02,  1.25181e+01, -7.20183e-01,  4.87694e+02,  1.42188e+00,
   249,    26,  6.33348e+00,  5.47106e-03,  1.27097e+01,  1.21516e-02, -5.10741e+02,  7.15479e-01,
   249,    76, -6.33348e+00, -5.47106e-03,  1.23838e+01, -1.21516e-02,  4.71800e+02,  6.37587e-01,
   250,    27,      0.0,    2.94826e-03,  7.61514e-01, -1.59448e-01, -6.07108e+01,  1.79587e-02,
   250,    77,      0.0,   -2.94826e-03,  3.31995e-01,  1.59448e-01,  9.16853e+00,  6.89625e-01,
   251,    28,  6.55494e+00,  2.30855e-02,  1.25892e+01,  1.82891e-04, -4.95770e+02,  2.28993e+00,
   251,    78, -6.55494e+00, -2.30855e-02,  1.25043e+01, -1.82891e-04,  4.86008e+02,  3.26367e+00,
   252,     7,      0.0,   -1.79309e-03,  1.27386e+01, -5.83711e-03, -5.25535e+02, -9.53378e-02,
   252,   107,      0.0,    1.79309e-03,  1.23549e+01,  5.83711e-03,  4.79494e+02, -3.35003e-01,
   253,     8,  1.20941e+00,  1.74831e-04,  1.25920e+01,  3.22699e-01, -5.03533e+02, -2.78246e-02,
   253,   108, -1.20941e+00, -1.74831e-04,  1.25015e+01, -3.22699e-01,  4.92693e+02,  7.02926e-02,
   254,     9, -1.73976e+00,  3.21103e-03,  1.25909e+01, -4.34886e-01, -5.02282e+02,  2.60372e-01,
   254,   109,  1.73976e+00, -3.21103e-03,  1.25026e+01,  4.34886e-01,  4.91655e+02,  5.06678e-01,
   255,    10, -1.73521e+00, -2.93179e-04,  1.26452e+01, -7.67558e-03, -5.08837e+02, -7.62988e-02,
   255,   110,  1.73521e+00,  2.93179e-04,  1.24483e+01,  7.67558e-03,  4.85190e+02,  2.35141e-03,
   256,    11,      0.0,    1.14237e-03,  1.26227e+01,  1.88651e-02, -5.05987e+02,  1.60101e-01,
   256,   111,      0.0,   -1.14237e-03,  1.24708e+01, -1.88651e-02,  4.87757e+02,  1.14068e-01,
   257,    12, -6.83213e-02,  3.74210e-03,  1.25201e+01,  3.79295e-01, -4.94677e+02,  3.61470e-01,
   257,   112,  6.83213e-02, -3.74210e-03,  1.25734e+01, -3.79295e-01,  5.01069e+02,  5.36573e-01,
   258,    13,  2.01259e-01,  1.16101e-02,  1.25053e+01, -3.69573e-01, -4.92963e+02,  1.31833e+00,
   258,   113, -2.01259e-01, -1.16101e-02,  1.25882e+01,  3.69573e-01,  5.02914e+02,  1.46932e+00,
   259,    14,  2.15800e-01,  5.66600e-03,  1.25955e+01, -2.57540e-02, -5.03859e+02,  6.47964e-01,
   259,   114, -2.15800e-01, -5.66600e-03,  1.24981e+01,  2.57540e-02,  4.92174e+02,  7.13164e-01,
   260,    15,      0.0,    1.26102e-03,  1.26490e+01,  3.73574e-02, -5.10684e+02,  1.72150e-01,
   260,   115,      0.0,   -1.26102e-03,  1.24445e+01, -3.73574e-02,  4.86136e+02,  1.30494e-01,
   261,    16, -9.96331e-02,  3.66609e-03,  1.24618e+01,  3.92034e-01, -4.87610e+02,  3.50754e-01,
