" Frame3DD version: 20140514               http://frame3dd.sf.net/"
"GPL Copyright (C) 1992-2014, Henri P. Gavin "
"Frame3DD is distributed in the hope that it will be useful but with no warranty."
"For details see the GNU Public Licence: http://www.fsf.org/copyleft/gpl.html"
"  Example H: a pedestrian ramp (units: kip  in)               "
" Wed May 14 16:02:05 2014
 "
" .CSV formatted results of Frame3DD analysis "

 , Load Case , Displacements , End Forces , Reactions 
 First Row , 1 , 17 , 167 , 759  
 Last Row , 1 , 164 , 756 , 906  

"L O A D   C A S E   1   O F   1  ... "

"N O D E   D I S P L A C E M E N T S    (global)"
Node  ,  X-dsp   ,   Y-dsp  ,    Z-dsp ,     X-rot  ,    Y-rot   ,   Z-rot
    17,    21,  7.21668e+01,  1.12590e-02,  2.21428e+01,  1.17555e-02, -1.10215e+03,  2.08295e-01,
    17,    25, -7.12125e+01, -1.12590e-02, -2.21428e+01, -1.17555e-02, -1.55342e+03,  1.21235e+00,
    18,     6,  1.58554e+02,  4.31635e-02,  1.12461e+00,  2.73533e-02, -6.49610e+01,  5.16883e+00,
    18,    10, -1.57599e+02, -4.31635e-02, -1.12461e+00, -2.73533e-02, -7.10618e+01,  1.78823e-01,
    19,    10,  1.27825e+02,  3.53672e-02,  5.70558e-01,  2.42864e-02, -1.55436e+01,  2.47060e+00,
    19,    14, -1.26870e+02, -3.53672e-02, -5.70558e-01, -2.42864e-02, -5.24612e+01,  2.00836e+00,
    20,    14,  9.58887e+01,  2.27891e-02,  1.53004e+00,  6.93018e-03, -9.80227e+01,  8.65214e-01,
    20,    18, -9.49344e+01, -2.27891e-02, -1.53004e+00, -6.93018e-03, -8.55045e+01,  2.02677e+00,
    21,    18,  6.31339e+01,  1.37487e-02,  2.45498e+00,  6.34292e-04, -1.21727e+02,  2.22514e-01,
    21,    22, -6.21797e+01, -1.37487e-02, -2.45498e+00, -6.34292e-04, -1.72846e+02,  1.50327e+00,
    22,    22,  2.99408e+01,  9.14831e-03,  1.08595e+00, -9.22220e-03, -5.03583e+01,  5.95835e-02,
    22,    26, -2.89865e+01, -9.14831e-03, -1.08595e+00,  9.22220e-03, -7.93121e+01,  1.06272e+00,
