" Frame3DD version: 20140514               http://frame3dd.sf.net/"
"GPL Copyright (C) 1992-2014, Henri P. Gavin "
"Frame3DD is distributed in the hope that it will be useful but with no warranty."
"For details see the GNU Public Licence: http://www.fsf.org/copyleft/gpl.html"
"  Example C: a tetrahedral frame - static and dynamic analysis (in  kip)               "
" Wed May 14 16:02:04 2014
 "
" .CSV formatted results of Frame3DD analysis "

 , Load Case , Displacements , End Forces , Reactions 
 First Row , 1 , 17 , 37 , 135  
 Last Row , 1 , 34 , 132 , 152  

"L O A D   C A S E   1   O F   1  ... "

"N O D E   D I S P L A C E M E N T S    (global)"
Node  ,  X-dsp   ,   Y-dsp  ,    Z-dsp ,     X-rot  ,    Y-rot   ,   Z-rot
     1,    0.0,        0.0,        0.0,      8.47560e-05, -2.15613e-03, -3.32886e-03,
     2,  1.69814e-01, -9.03575e-02, -4.80386e-02, -1.39891e-03,  6.05967e-04, -4.78749e-03,
     3,    0.0,        0.0,        0.0,     -8.93343e-04, -6.74001e-04, -2.60330e-03,
     4, -6.55602e-02, -5.20455e-01,  2.01804e-01, -3.17409e-03, -7.92984e-04, -2.71843e-03,
     5,  9.65868e-02, -5.55047e-01, -1.12012e-01, -3.41652e-03,  1.12436e-04, -2.26225e-03,
     6, -2.83458e-03, -2.26480e-01,  5.42658e-02, -2.67648e-03, -3.06859e-04, -2.04857e-03,
     7, -2.56412e-02, -6.67426e-01,  2.30687e-01, -3.06363e-03, -2.25109e-04, -6.34703e-04,
     8,  2.28603e-02, -6.66263e-01, -7.27391e-02, -3.10489e-03, -1.88366e-04, -6.09562e-04,
    30,    10,  3.23843e+00,  4.91688e-01, -1.42418e-01,  2.41621e+00,  1.90647e+01,  3.58985e+01,
    30,    12, -2.67197e+00, -4.91688e-01,  4.25649e-01, -2.41621e+00,  1.16653e+01,  1.90129e+01,
    31,    10,  1.75049e+01, -2.99245e+00,  3.32491e-01, -8.73802e+00, -5.29338e+01, -2.73350e+02,
    31,    13, -1.75049e+01,  2.99245e+00, -4.92599e-02,  8.73802e+00,  3.22358e+01, -3.05231e+01,
    32,    11,  3.22806e+02,  5.07558e+01, -1.70941e+00, -1.02558e+01,  8.98024e+01,  5.65854e+02,
    32,    14, -3.22806e+02,  5.92442e+01,  1.99265e+00,  1.02558e+01,  1.14876e+02, -1.08620e+03,
    33,    12, -8.01205e-01,  8.76999e-01, -2.70781e-01, -7.97934e+00,  5.08715e+00, -4.87250e+01,
    33,    15,  8.01205e-01, -8.76999e-01,  8.37244e-01,  7.97934e+00,  5.03330e+01,  1.36529e+02,
    34,    10, -2.56668e+01, -2.60975e-01,  4.57174e-01, -7.69860e+00, -1.84809e+01, -2.08255e+00,
    34,    15,  2.59500e+01,  2.60975e-01, -1.40512e-01,  7.69860e+00, -1.98277e+01, -2.66774e+01,
    35,    11,  5.13394e+00, -3.75923e-01, -5.08783e-01, -5.64301e+00,  1.63509e+01, -2.48992e+01,
    35,    15, -4.85071e+00,  3.75923e-01,  8.25445e-01,  5.64301e+00,  8.47300e+01, -3.37923e+01,
    36,    10, -1.37835e+02, -1.48647e+00,  6.54115e-01, -4.96147e+00,  1.62061e+01, -1.60561e+02,
    36,    14,  1.37835e+02,  1.48647e+00,  1.46984e-01,  4.96147e+00, -1.50784e+01, -3.05750e+00,
    37,    13,  4.51441e+00,  6.51083e+00,  2.14429e-01,  7.66277e+00, -2.20925e+00,  3.39651e+02,
    37,    14, -4.51441e+00, -6.51083e+00,  6.88020e-02, -7.66277e+00, -5.86820e+00,  3.10488e+02,
    38,    14, -1.18033e+00, -8.43241e-01, -1.66069e-01,  4.54895e+00,  1.26214e+01, -5.25646e+01,
    38,    15,  1.46356e+00,  8.43241e-01,  3.07685e-01, -4.54895e+00,  1.36005e+01, -4.14551e+01,
    39,    13, -1.21130e+00,  3.97011e-01,  1.35868e-01,  6.51126e+00,  7.53223e-01,  6.24144e+00,
    39,    15,  1.77776e+00, -3.97011e-01,  1.47364e-01, -6.51126e+00,  1.82142e-01,  3.81673e+01,
    40,    13,  2.44127e+01, -6.84363e+00,  8.57490e-01, -1.01949e+01, -3.72277e+01, -3.17743e+02,
    40,    16, -2.44127e+01,  6.84363e+00, -5.74259e-01,  1.01949e+01, -3.85854e+01, -3.76490e+02,
    41,    14,  1.25849e+01,  5.58931e+01,  3.94514e-01, -8.89688e+00, -1.36828e+00,  8.39538e+02,
    41,    17, -1.25849e+01,  5.41069e+01, -1.11282e-01,  8.89688e+00, -2.40002e+01, -7.55103e+02,
    42,    15, -3.49959e+01,  3.18765e-01,  4.77397e-01, -7.19919e+00, -1.84601e+01,  5.63495e+00,
    42,    18,  3.49959e+01, -3.18765e-01,  8.90658e-02,  7.19919e+00,  2.04448e+00,  3.42543e+01,
    43,    15,  2.91096e+01, -1.09801e+00,  5.53284e-01, -2.05937e+00, -6.20274e+01, -1.28793e+02,
    43,    16, -2.93928e+01,  1.09801e+00, -2.36622e-01,  2.05937e+00, -9.76581e-01, -4.19769e+01,
    44,    14,  2.97241e+02,  2.78210e-01,  1.89307e-01, -1.15357e+00, -3.77926e+01, -3.44567e+01,
    44,    16, -2.97241e+02, -2.78210e-01,  2.11242e-01,  1.15357e+00,  4.03112e+01, -5.37104e+01,
    45,    14, -2.75560e+00, -5.82775e-01,  2.34517e-01, -9.76762e-01, -2.41154e+01, -8.35135e+00,
    45,    18,  3.32206e+00,  5.82775e-01,  3.98807e-01,  9.76762e-01,  3.64260e+01, -7.76889e+01,
    46,    16,  5.44584e+01,  1.18856e+01,  1.90001e-01,  9.77744e+00, -7.35295e+00,  4.55297e+02,
    46,    17, -5.44584e+01, -1.18856e+01,  9.32302e-02, -9.77744e+00,  1.99645e+00,  7.22089e+02,
    47,    17, -1.41028e-01,  6.99276e-01,  3.22423e-01,  1.44252e+01, -6.89946e+00,  4.49720e+01,
    47,    18,  4.24260e-01, -6.99276e-01, -1.80807e-01, -1.44252e+01, -2.12379e+01,  3.32674e+01,
    48,    16,  2.83231e-01,  5.71768e-01, -5.02352e-01,  2.36711e+00,  2.27692e+01,  1.21778e+01,
    48,    18,  2.83231e-01, -5.71768e-01,  7.85583e-01, -2.36711e+00,  4.92285e+01,  5.17479e+01,
"R E A C T I O N S  (global)"
 Node   ,    Fx      ,   Fy   ,      Fz   ,     Mxx    ,    Myy    ,    Mzz
     1,  2.04784e+02,  2.75671e+02, -2.21418e+00,       0.0,        0.0,        0.0, 
     2,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     3,  2.32990e+01, -6.66812e+00,  9.14502e-01,       0.0,        0.0,        0.0, 
     4,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     5,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     6,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     7,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     8,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     9,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    10,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    11,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    12,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    13,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    14,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    15,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    16, -2.64760e+02,  2.82709e+02,  1.92864e+01,       0.0,        0.0,        0.0, 
    17,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    18,  3.66763e+01, -1.71164e+00,  3.40403e+00,       0.0,        0.0,        0.0, 
"R M S    R E L A T I V E    E Q U I L I B R I U M    E R R O R:", 8.014e-10
