    33,    19, -2.06104e+01,  1.57908e-02, -1.95829e+01,  1.90255e+01,  2.18580e+05, -8.00222e-02,
    33,    20,  2.06104e+01, -1.57908e-02,  4.71069e+02, -1.90255e+01,  1.24875e+05,  2.21872e+01,
    34,    21, -2.70752e+01,  1.23755e-01,  4.32270e+02, -2.66710e-02, -7.38534e+04,  1.79075e+02,
    34,    22,  2.70752e+01, -1.23755e-01,  4.70701e+02,  2.66710e-02,  1.27657e+05,  1.67438e+02,
    35,    16, -9.66609e+00,  2.16833e-01,  2.87192e+02,  1.73388e+01, -7.68847e+04,  1.47005e+02,
    35,    18,  9.66609e+00, -2.16833e-01,  3.14790e+02, -1.73388e+01,  1.01723e+05,  2.43293e+02,
    36,    18, -9.67069e+00, -2.45593e-01,  3.14808e+02, -1.71968e+01, -1.01733e+05, -2.65391e+02,
    36,    21,  9.67069e+00,  2.45593e-01,  2.87173e+02,  1.71968e+01,  7.68616e+04, -1.76675e+02,
    37,    17, -9.98408e+00,  1.93344e-01,  2.87373e+02, -1.83418e+01, -7.70206e+04,  1.34991e+02,
    37,    20,  9.98408e+00, -1.93344e-01,  3.14608e+02,  1.83418e+01,  1.01532e+05,  2.13026e+02,
    38,    20, -9.97793e+00, -2.22338e-01,  3.14590e+02,  1.81634e+01, -1.01522e+05, -2.35287e+02,
    38,    22,  9.97793e+00,  2.22338e-01,  2.87391e+02, -1.81634e+01,  7.70435e+04, -1.64921e+02,
    39,    23, -2.22238e+01, -1.20605e+00,  4.34626e+02,  4.65373e-02, -9.51252e+04, -1.68897e+03,
    39,    24,  2.22238e+01,  1.20605e+00,  4.68346e+02, -4.65373e-02,  1.42333e+05, -1.68797e+03,
    40,    25, -2.16713e+01,  5.26372e-03,  4.30351e+02,  1.07296e+01, -8.30105e+04,  7.37757e+00,
    40,    26,  2.16713e+01, -5.26372e-03,  2.11349e+01, -1.07296e+01, -2.03440e+05, -8.20614e-03,
    41,    26, -2.16713e+01,  5.26372e-03, -2.11349e+01,  1.07296e+01,  2.03440e+05,  8.20614e-03,
    41,    27,  2.16713e+01, -5.26372e-03,  4.72621e+02, -1.07296e+01,  1.42188e+05,  7.36115e+00,
    42,    28, -2.22453e+01,  1.21312e+00,  4.34616e+02, -3.85813e-02, -9.51042e+04,  1.69889e+03,
    42,    29,  2.22453e+01, -1.21312e+00,  4.68356e+02,  3.85813e-02,  1.42340e+05,  1.69786e+03,
    43,    23, -2.60569e+01,  2.35728e+00,  3.01040e+02,  6.57712e+00, -9.01177e+04,  1.67531e+03,
    43,    25,  2.60569e+01, -2.35728e+00,  3.00942e+02, -6.57712e+00,  9.00295e+04,  2.56775e+03,
    44,    25, -2.60541e+01, -2.36687e+00,  3.00947e+02, -6.60422e+00, -9.00321e+04, -2.57512e+03,
    44,    28,  2.60541e+01,  2.36687e+00,  3.01034e+02,  6.60422e+00,  9.01109e+04, -1.68521e+03,
    45,    24, -2.87449e+01,  2.35530e+00,  3.01477e+02, -1.62460e+01, -9.04864e+04,  1.67432e+03,
    45,    27,  2.87449e+01, -2.35530e+00,  3.00504e+02,  1.62460e+01,  8.96101e+04,  2.56518e+03,
    46,    27, -2.87479e+01, -2.36487e+00,  3.00498e+02,  1.62495e+01, -8.96075e+04, -2.57253e+03,
    46,    29,  2.87479e+01,  2.36487e+00,  3.01483e+02, -1.62495e+01,  9.04931e+04, -1.68419e+03,
    47,    30,  9.24116e+01, -7.17607e+00,  4.43710e+02,  1.17687e-01, -6.13848e+04, -1.00424e+04,
    47,    31, -9.24116e+01,  7.17607e+00,  4.59262e+02, -1.17687e-01,  8.31585e+04, -1.00505e+04,
    48,    32,  3.78842e+01,  2.25211e-03,  4.39655e+02,  3.11827e+00, -5.20762e+04,  3.15166e+00,
    48,    33, -3.78842e+01, -2.25211e-03,  1.18308e+01, -3.11827e+00, -2.47403e+05,  1.00989e-03,
    49,    33,  1.37884e+02,  2.25211e-03, -1.18308e+01,  3.11827e+00,  2.47403e+05, -1.00989e-03,
    49,    34, -1.37884e+02, -2.25211e-03,  4.63317e+02, -3.11827e+00,  8.52084e+04,  3.15293e+00,
    50,    35,  9.24137e+01,  7.17910e+00,  4.43707e+02, -1.14741e-01, -6.13823e+04,  1.00467e+04,
    50,    36, -9.24137e+01, -7.17910e+00,  4.59265e+02,  1.14741e-01,  8.31628e+04,  1.00548e+04,
    51,    30,  8.46840e+01,  1.41069e+01,  2.81510e+02,  1.23131e+01, -6.38502e+04,  1.00589e+04,
    51,    32, -8.46840e+01, -1.41069e+01,  3.20471e+02, -1.23131e+01,  9.89151e+04,  1.53344e+04,
    52,    32,  8.46861e+01, -1.41110e+01,  3.20472e+02, -1.23147e+01, -9.89152e+04, -1.53375e+04,
    52,    35, -8.46861e+01,  1.41110e+01,  2.81509e+02,  1.23147e+01,  6.38484e+04, -1.00631e+04,
    53,    31,  7.07356e+01,  1.41231e+01,  2.81946e+02, -2.15736e+01, -6.41782e+04,  1.00670e+04,
    53,    34, -7.07356e+01, -1.41231e+01,  3.20035e+02,  2.15736e+01,  9.84583e+04,  1.53552e+04,
    54,    34,  7.07334e+01, -1.41272e+01,  3.20034e+02,  2.15682e+01, -9.84582e+04, -1.53583e+04,
    54,    36, -7.07334e+01,  1.41272e+01,  2.81947e+02, -2.15682e+01,  6.41799e+04, -1.00713e+04,
    55,     2,  1.03135e+03,  2.50299e+01,  6.53809e-03,      0.0,  -1.17508e+03, -4.88954e+03,
    55,    12, -1.72783e+03, -2.50299e+01, -6.53809e-03,      0.0,   1.17173e+03,  1.95877e+04,
    56,     3,  1.16932e+03,  2.47980e+01,  5.75498e-03,      0.0,  -1.24081e+03,  2.12963e+04,
    56,    13, -1.86580e+03, -2.47980e+01, -5.75498e-03,      0.0,   1.23787e+03, -6.52846e+03,
    57,     9,  1.04894e+03,  2.49818e+01, -6.55328e-03,      0.0,   1.17781e+03, -5.08740e+03,
    57,    14, -1.74542e+03, -2.49818e+01,  6.55328e-03,      0.0,  -1.17446e+03,  1.97850e+04,
    58,    10,  1.02213e+03,  2.51903e+01, -6.55200e-03,      0.0,   1.17758e+03,  1.93832e+04,
    58,    15, -1.71861e+03, -2.51903e+01,  6.55200e-03,      0.0,  -1.17423e+03, -4.61542e+03,
"R E A C T I O N S  (global)"
 Node   ,    Fx      ,   Fy   ,      Fz   ,     Mxx    ,    Myy    ,    Mzz
     1, -4.04880e+01,       0.0,   4.34517e+04,       0.0,        0.0,   7.03896e+03,
     2,  6.53766e-03,       0.0,        0.0,        0.0,        0.0,        0.0, 
     3,  5.75458e-03,       0.0,        0.0,        0.0,        0.0,        0.0, 
     4, -4.05047e+01,       0.0,   4.34472e+04,       0.0,        0.0,   7.11608e+03,
     5, -2.23613e-02,       0.0,   4.69942e+04,       0.0,        0.0,   3.17743e+01,
     6,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     7,  2.09738e-02,       0.0,   4.71171e+04,       0.0,        0.0,   3.71963e+01,
     8,  4.04587e+01,       0.0,   4.34439e+04,       0.0,        0.0,  -7.00721e+03,
     9, -6.55280e-03,       0.0,        0.0,        0.0,        0.0,        0.0, 
    10, -6.55157e-03,       0.0,        0.0,        0.0,        0.0,        0.0, 
    11,  4.05353e+01,       0.0,   4.35846e+04,       0.0,        0.0,  -7.07891e+03,
    12, -6.53766e-03, -2.49323e+01,  1.72721e+03,  1.86104e+04,  1.17173e+03,       0.0, 
    13, -5.75458e-03, -2.50681e+01,  1.86675e+03, -7.51304e+03,  1.23785e+03,       0.0, 
    14,  6.55280e-03, -2.49313e+01,  1.74480e+03,  1.88078e+04, -1.17444e+03,       0.0, 
    15,  6.55157e-03, -2.50684e+01,  1.71947e+03, -5.59718e+03, -1.17422e+03,       0.0, 
    16,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    17,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    18,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    19,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    20,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    21,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    22,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    23,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    24,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    25,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    26,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    27,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    28,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    29,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    30,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    31,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    32,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    33,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    34,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    35,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    36,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
"R M S    R E L A T I V E    E Q U I L I B R I U M    E R R O R:", 2.394e-08
